Region,tabasco,sriracha,year
Louisiana,0.65,0.35,2016
Montana,0.13,0.87,2016
Alaska,0.21,0.79,2016
Hawaii,0.18,0.82,2016
Vermont,0.12,0.88,2016
Delaware,0.09,0.91,2016
Wyoming,0.27,0.73,2016
New Hampshire,0.13,0.87,2016
District of Columbia,0.2,0.8,2016
Washington,0.23,0.77,2016
Rhode Island,0.13,0.87,2016
North Dakota,0.23,0.77,2016
California,0.25,0.75,2016
Pennsylvania,0.18,0.82,2016
Maryland,0.2,0.8,2016
Massachusetts,0.19,0.81,2016
New York,0.23,0.77,2016
Colorado,0.29,0.71,2016
Oregon,0.23,0.77,2016
New Jersey,0.21,0.79,2016
Illinois,0.26,0.74,2016
Arizona,0.27,0.73,2016
Michigan,0.18,0.82,2016
Nevada,0.27,0.73,2016
Wisconsin,0.23,0.77,2016
Minnesota,0.22,0.78,2016
Ohio,0.24,0.76,2016
Florida,0.24,0.76,2016
South Carolina,0.26,0.74,2016
Utah,0.31,0.69,2016
Idaho,0.27,0.73,2016
Virginia,0.26,0.74,2016
Georgia,0.28,0.72,2016
Nebraska,0.31,0.69,2016
North Carolina,0.26,0.74,2016
Indiana,0.24,0.76,2016
Tennessee,0.26,0.74,2016
Oklahoma,0.33,0.67,2016
Kansas,0.3,0.7,2016
West Virginia,0.25,0.75,2016
Connecticut,0.2,0.8,2016
Maine,0.24,0.76,2016
South Dakota,0.3,0.7,2016
Texas,0.44,0.56,2016
Iowa,0.25,0.75,2016
Alabama,0.3,0.7,2016
Missouri,0.23,0.77,2016
Kentucky,0.23,0.77,2016
Mississippi,0.43,0.57,2016
New Mexico,0.39,0.61,2016
Arkansas,0.4,0.6,2016
