Region,tabasco,sriracha,year
Louisiana,0.69,0.31,2017
Montana,0.19,0.81,2017
Alaska,0.27,0.73,2017
Hawaii,0.24,0.76,2017
California,0.26,0.74,2017
Vermont,0.23,0.77,2017
New Hampshire,0.23,0.77,2017
New York,0.24,0.76,2017
Washington,0.25,0.75,2017
Minnesota,0.25,0.75,2017
Wisconsin,0.21,0.79,2017
North Dakota,0.21,0.79,2017
Pennsylvania,0.21,0.79,2017
Maine,0.23,0.77,2017
District of Columbia,0.24,0.76,2017
Illinois,0.27,0.73,2017
Idaho,0.24,0.76,2017
Massachusetts,0.2,0.8,2017
Delaware,0.23,0.77,2017
Colorado,0.34,0.66,2017
Oregon,0.26,0.74,2017
Connecticut,0.2,0.8,2017
Virginia,0.29,0.71,2017
Maryland,0.24,0.76,2017
Michigan,0.22,0.78,2017
Rhode Island,0.19,0.81,2017
Arizona,0.29,0.71,2017
Nevada,0.34,0.66,2017
New Jersey,0.26,0.74,2017
Nebraska,0.28,0.72,2017
Oklahoma,0.28,0.72,2017
Utah,0.27,0.73,2017
Arkansas,0.32,0.68,2017
Florida,0.26,0.74,2017
Tennessee,0.3,0.7,2017
Ohio,0.27,0.73,2017
Georgia,0.28,0.72,2017
Missouri,0.26,0.74,2017
Kansas,0.32,0.68,2017
Iowa,0.24,0.76,2017
North Carolina,0.26,0.74,2017
South Carolina,0.29,0.71,2017
New Mexico,0.27,0.73,2017
Texas,0.44,0.56,2017
Kentucky,0.25,0.75,2017
West Virginia,0.26,0.74,2017
Indiana,0.31,0.69,2017
Alabama,0.38,0.62,2017
Wyoming,0.41,0.59,2017
Mississippi,0.46,0.54,2017
South Dakota,0.3,0.7,2017
