Region,tabasco,sriracha,year
Louisiana,0.87,0.13,2011
Texas,0.72,0.28,2011
Wyoming,0.75,0.25,2011
Arkansas,0.61,0.39,2011
Mississippi,0.66,0.34,2011
North Dakota,0.73,0.27,2011
Missouri,0.62,0.38,2011
Oklahoma,0.65,0.35,2011
Vermont,0.46,0.54,2011
New Mexico,0.82,0.18,2011
Colorado,0.62,0.38,2011
Oregon,0.43,0.57,2011
Rhode Island,0.57,0.43,2011
Nevada,0.56,0.44,2011
District of Columbia,0.47,0.53,2011
Maine,0.45,0.55,2011
Washington,0.51,0.49,2011
Massachusetts,0.4,0.6,2011
California,0.51,0.49,2011
Utah,0.56,0.44,2011
Wisconsin,0.44,0.56,2011
Pennsylvania,0.42,0.58,2011
Minnesota,0.49,0.51,2011
Virginia,0.5,0.5,2011
Kansas,0.56,0.44,2011
Arizona,0.52,0.48,2011
New York,0.52,0.48,2011
Illinois,0.52,0.48,2011
Tennessee,0.55,0.45,2011
South Carolina,0.59,0.41,2011
Nebraska,0.46,0.54,2011
Georgia,0.58,0.42,2011
Iowa,0.51,0.49,2011
Idaho,0.53,0.47,2011
Kentucky,0.6,0.4,2011
Florida,0.53,0.47,2011
Montana,0.5,0.5,2011
Ohio,0.52,0.48,2011
South Dakota,0.62,0.38,2011
Michigan,0.43,0.57,2011
North Carolina,0.53,0.47,2011
Connecticut,0.46,0.54,2011
Maryland,0.51,0.49,2011
Hawaii,0.53,0.47,2011
Alabama,0.6,0.4,2011
New Hampshire,0.36,0.64,2011
Indiana,0.49,0.51,2011
Delaware,0.44,0.56,2011
New Jersey,0.48,0.52,2011
West Virginia,0.65,0.35,2011
Alaska,0.5,0.5,2011
