Region,tabasco,sriracha,year
Oregon,0.63,0.37,2013
Alaska,0.25,0.75,2013
Hawaii,0.21,0.79,2013
District of Columbia,0.18,0.82,2013
Washington,0.19,0.81,2013
California,0.2,0.8,2013
Louisiana,0.58,0.42,2013
Maine,0.22,0.78,2013
Minnesota,0.19,0.81,2013
Missouri,0.17,0.83,2013
Pennsylvania,0.17,0.83,2013
Virginia,0.2,0.8,2013
South Dakota,0.14,0.86,2013
Nevada,0.27,0.73,2013
Massachusetts,0.18,0.82,2013
Michigan,0.18,0.82,2013
New Hampshire,0.23,0.77,2013
Illinois,0.23,0.77,2013
Connecticut,0.22,0.78,2013
Ohio,0.19,0.81,2013
Indiana,0.21,0.79,2013
New York,0.24,0.76,2013
Wisconsin,0.18,0.82,2013
Vermont,0.29,0.71,2013
Rhode Island,0.16,0.84,2013
Colorado,0.27,0.73,2013
Idaho,0.26,0.74,2013
North Dakota,0.28,0.72,2013
Arizona,0.25,0.75,2013
Montana,0.27,0.73,2013
Oklahoma,0.41,0.59,2013
Iowa,0.17,0.83,2013
Maryland,0.24,0.76,2013
New Jersey,0.2,0.8,2013
Kansas,0.27,0.73,2013
West Virginia,0.2,0.8,2013
Nebraska,0.21,0.79,2013
Delaware,0.31,0.69,2013
Kentucky,0.23,0.77,2013
Arkansas,0.33,0.67,2013
North Carolina,0.23,0.77,2013
South Carolina,0.22,0.78,2013
Florida,0.3,0.7,2013
Georgia,0.29,0.71,2013
Texas,0.41,0.59,2013
Tennessee,0.24,0.76,2013
Alabama,0.34,0.66,2013
Utah,0.31,0.69,2013
Wyoming,0.27,0.73,2013
New Mexico,0.33,0.67,2013
Mississippi,0.4,0.6,2013
