Region,tabasco,sriracha,year
Louisiana,0.62,0.38,2015
Hawaii,0.16,0.84,2015
Vermont,0.07,0.93,2015
Montana,0.13,0.87,2015
Washington,0.19,0.81,2015
North Dakota,0.38,0.62,2015
Alaska,0.32,0.68,2015
Maryland,0.19,0.81,2015
Maine,0.18,0.82,2015
Massachusetts,0.18,0.82,2015
District of Columbia,0.22,0.78,2015
California,0.21,0.79,2015
Oklahoma,0.22,0.78,2015
Wisconsin,0.19,0.81,2015
Idaho,0.24,0.76,2015
Michigan,0.18,0.82,2015
Colorado,0.24,0.76,2015
Pennsylvania,0.16,0.84,2015
Wyoming,0.16,0.84,2015
New York,0.32,0.68,2015
Arizona,0.25,0.75,2015
New Jersey,0.2,0.8,2015
Delaware,0.25,0.75,2015
Kentucky,0.18,0.82,2015
Missouri,0.22,0.78,2015
Minnesota,0.2,0.8,2015
Illinois,0.24,0.76,2015
Nevada,0.24,0.76,2015
Nebraska,0.21,0.79,2015
Iowa,0.2,0.8,2015
Tennessee,0.23,0.77,2015
Mississippi,0.37,0.63,2015
Ohio,0.2,0.8,2015
Indiana,0.23,0.77,2015
Utah,0.22,0.78,2015
West Virginia,0.18,0.82,2015
Alabama,0.24,0.76,2015
Arkansas,0.28,0.72,2015
Connecticut,0.17,0.83,2015
Oregon,0.43,0.57,2015
Rhode Island,0.15,0.85,2015
Florida,0.26,0.74,2015
North Carolina,0.24,0.76,2015
South Dakota,0.21,0.79,2015
New Hampshire,0.27,0.73,2015
Georgia,0.24,0.76,2015
New Mexico,0.2,0.8,2015
Texas,0.45,0.55,2015
South Carolina,0.23,0.77,2015
Kansas,0.43,0.57,2015
Virginia,0.41,0.59,2015
