Region,tabasco,sriracha,year
Virginia,0.98,0.02,2010
California,0.94,0.06,2010
Louisiana,0.91,0.09,2010
Vermont,0.96,0.04,2010
Texas,0.84,0.16,2010
West Virginia,0.85,0.15,2010
New Mexico,0.65,0.35,2010
Montana,0.7,0.3,2010
Massachusetts,0.73,0.27,2010
Alabama,0.79,0.21,2010
Arizona,0.65,0.35,2010
Arkansas,0.69,0.31,2010
Illinois,0.67,0.33,2010
South Carolina,0.85,0.15,2010
New Jersey,0.75,0.25,2010
Wyoming,0.53,0.47,2010
Nebraska,0.59,0.41,2010
Colorado,0.72,0.28,2010
Oregon,0.54,0.46,2010
Idaho,0.75,0.25,2010
Maryland,0.66,0.34,2010
Utah,0.83,0.17,2010
Tennessee,0.85,0.15,2010
South Dakota,0.7,0.3,2010
Mississippi,0.86,0.14,2010
New Hampshire,0.66,0.34,2010
Georgia,0.8,0.2,2010
District of Columbia,0.64,0.36,2010
Maine,0.4,0.6,2010
Delaware,0.36,0.64,2010
Kansas,0.68,0.32,2010
Alaska,0.63,0.37,2010
Nevada,0.72,0.28,2010
North Dakota,0.46,0.54,2010
Wisconsin,0.65,0.35,2010
Rhode Island,0.5,0.5,2010
Washington,0.53,0.47,2010
Missouri,0.69,0.31,2010
Hawaii,0.47,0.53,2010
Ohio,0.61,0.39,2010
Pennsylvania,0.62,0.38,2010
Florida,0.67,0.33,2010
Minnesota,0.52,0.48,2010
North Carolina,0.65,0.35,2010
Oklahoma,0.66,0.34,2010
Connecticut,0.75,0.25,2010
Iowa,0.59,0.41,2010
New York,0.53,0.47,2010
Indiana,0.65,0.35,2010
Kentucky,0.68,0.32,2010
Michigan,0.61,0.39,2010
