Region,tabasco,sriracha,year
Louisiana,0.97,0.03,2007
Texas,0.97,0.03,2007
Nebraska,0.79,0.21,2007
Arkansas,0.86,0.14,2007
Utah,0.88,0.12,2007
Mississippi,0.86,0.14,2007
Arizona,0.97,0.03,2007
California,0.88,0.12,2007
Nevada,0.79,0.21,2007
Georgia,0.89,0.11,2007
South Carolina,0.74,0.26,2007
New Hampshire,0.81,0.19,2007
Wisconsin,0.95,0.05,2007
Oklahoma,0.89,0.11,2007
North Carolina,0.95,0.05,2007
North Dakota,1,,2007
Iowa,0.75,0.25,2007
Florida,0.9,0.1,2007
Montana,0.34,0.66,2007
Rhode Island,0.79,0.21,2007
West Virginia,0.62,0.38,2007
Colorado,0.85,0.15,2007
Ohio,0.89,0.11,2007
Illinois,0.89,0.11,2007
Washington,0.8,0.2,2007
Kentucky,0.9,0.1,2007
New Mexico,0.76,0.24,2007
Maine,0.62,0.38,2007
Maryland,0.83,0.17,2007
Alabama,0.87,0.13,2007
District of Columbia,0.88,0.12,2007
Wyoming,0.51,0.49,2007
Idaho,1,,2007
New Jersey,0.8,0.2,2007
Indiana,1,,2007
Pennsylvania,0.88,0.12,2007
Missouri,0.87,0.13,2007
Massachusetts,0.82,0.18,2007
Minnesota,0.83,0.17,2007
Kansas,0.71,0.29,2007
Tennessee,0.85,0.15,2007
Delaware,1,,2007
Virginia,0.83,0.17,2007
Vermont,0.52,0.48,2007
New York,0.85,0.15,2007
Hawaii,1,,2007
Oregon,0.89,0.11,2007
Connecticut,0.78,0.22,2007
South Dakota,0.52,0.48,2007
Alaska,0.51,0.49,2007
Michigan,0.76,0.24,2007
