Region,tabasco,sriracha,year
Louisiana,0.75,0.25,2018
Vermont,0.3,0.7,2018
Alaska,0.27,0.73,2018
Hawaii,0.26,0.74,2018
Maine,0.25,0.75,2018
Delaware,0.21,0.79,2018
Washington,0.29,0.71,2018
Massachusetts,0.2,0.8,2018
California,0.31,0.69,2018
Minnesota,0.3,0.7,2018
Oregon,0.28,0.72,2018
North Dakota,0.25,0.75,2018
District of Columbia,0.25,0.75,2018
Maryland,0.28,0.72,2018
Nevada,0.29,0.71,2018
New York,0.27,0.73,2018
Montana,0.3,0.7,2018
Colorado,0.37,0.63,2018
Pennsylvania,0.24,0.76,2018
South Dakota,0.25,0.75,2018
Arizona,0.32,0.68,2018
New Hampshire,0.26,0.74,2018
Iowa,0.29,0.71,2018
Idaho,0.3,0.7,2018
Utah,0.34,0.66,2018
Virginia,0.34,0.66,2018
Ohio,0.3,0.7,2018
South Carolina,0.31,0.69,2018
Wyoming,0.37,0.63,2018
Florida,0.32,0.68,2018
North Carolina,0.34,0.66,2018
Indiana,0.33,0.67,2018
Kansas,0.36,0.64,2018
Illinois,0.35,0.65,2018
Michigan,0.28,0.72,2018
Tennessee,0.34,0.66,2018
Kentucky,0.29,0.71,2018
Texas,0.51,0.49,2018
New Jersey,0.3,0.7,2018
Wisconsin,0.32,0.68,2018
Nebraska,0.31,0.69,2018
Connecticut,0.28,0.72,2018
Rhode Island,0.27,0.73,2018
Missouri,0.31,0.69,2018
Georgia,0.36,0.64,2018
West Virginia,0.24,0.76,2018
Mississippi,0.39,0.61,2018
Oklahoma,0.44,0.56,2018
Alabama,0.45,0.55,2018
Arkansas,0.38,0.62,2018
New Mexico,0.46,0.54,2018
