Region,tabasco,sriracha,year
Louisiana,0.75,0.25,2019
Alaska,0.21,0.79,2019
Oregon,0.27,0.73,2019
North Dakota,0.17,0.83,2019
Washington,0.29,0.71,2019
New Hampshire,0.2,0.8,2019
Massachusetts,0.22,0.78,2019
Wyoming,0.32,0.68,2019
Hawaii,0.26,0.74,2019
California,0.3,0.7,2019
Minnesota,0.28,0.72,2019
Delaware,0.28,0.72,2019
Nevada,0.3,0.7,2019
Montana,0.2,0.8,2019
Idaho,0.27,0.73,2019
Maine,0.21,0.79,2019
Maryland,0.29,0.71,2019
Connecticut,0.26,0.74,2019
Pennsylvania,0.24,0.76,2019
Kansas,0.32,0.68,2019
Tennessee,0.31,0.69,2019
Arizona,0.35,0.65,2019
Michigan,0.25,0.75,2019
Iowa,0.25,0.75,2019
Nebraska,0.23,0.77,2019
Virginia,0.29,0.71,2019
Florida,0.27,0.73,2019
Indiana,0.31,0.69,2019
Illinois,0.3,0.7,2019
Missouri,0.22,0.78,2019
New York,0.28,0.72,2019
Utah,0.32,0.68,2019
Ohio,0.27,0.73,2019
West Virginia,0.27,0.73,2019
Wisconsin,0.24,0.76,2019
District of Columbia,0.37,0.63,2019
New Jersey,0.28,0.72,2019
Colorado,0.36,0.64,2019
Vermont,0.36,0.64,2019
Rhode Island,0.28,0.72,2019
North Carolina,0.33,0.67,2019
South Carolina,0.34,0.66,2019
Texas,0.51,0.49,2019
Oklahoma,0.29,0.71,2019
New Mexico,0.42,0.58,2019
Kentucky,0.33,0.67,2019
Georgia,0.34,0.66,2019
Alabama,0.41,0.59,2019
Arkansas,0.41,0.59,2019
South Dakota,0.42,0.58,2019
Mississippi,0.45,0.55,2019
