Region,tabasco,sriracha,year
Virginia,0.98,0.02,2009
California,0.94,0.06,2009
Louisiana,0.98,0.02,2009
Texas,0.88,0.12,2009
Mississippi,0.8,0.2,2009
Vermont,0.82,0.18,2009
Kansas,0.88,0.12,2009
Hawaii,0.81,0.19,2009
Arkansas,0.85,0.15,2009
Wyoming,1,,2009
Nebraska,0.79,0.21,2009
Alaska,0.61,0.39,2009
Delaware,0.69,0.31,2009
Alabama,0.7,0.3,2009
Nevada,0.83,0.17,2009
Utah,0.91,0.09,2009
Arizona,0.73,0.27,2009
Georgia,0.78,0.22,2009
Tennessee,0.9,0.1,2009
Illinois,0.75,0.25,2009
Colorado,0.66,0.34,2009
Oregon,0.68,0.32,2009
Rhode Island,0.7,0.3,2009
North Carolina,0.84,0.16,2009
South Carolina,0.67,0.33,2009
Florida,0.73,0.27,2009
Maryland,0.66,0.34,2009
Ohio,0.68,0.32,2009
New Jersey,0.73,0.27,2009
Washington,0.57,0.43,2009
District of Columbia,0.67,0.33,2009
North Dakota,0.63,0.37,2009
Oklahoma,0.83,0.17,2009
South Dakota,1,,2009
Indiana,0.8,0.2,2009
Massachusetts,0.6,0.4,2009
Iowa,0.78,0.22,2009
Idaho,0.65,0.35,2009
Kentucky,0.67,0.33,2009
Missouri,0.68,0.32,2009
Wisconsin,0.7,0.3,2009
Minnesota,0.66,0.34,2009
Maine,0.78,0.22,2009
New Mexico,0.74,0.26,2009
New York,0.58,0.42,2009
Michigan,0.53,0.47,2009
Pennsylvania,0.65,0.35,2009
New Hampshire,0.36,0.64,2009
Connecticut,0.66,0.34,2009
West Virginia,1,,2009
Montana,,,2009
